order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-1/","Macon beacon. April 06, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0828.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-1/thumbnail.jpg",4648,7481,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0828.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-2/","Macon beacon. April 06, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0829.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-2/thumbnail.jpg",4988,7768,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0829.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-3/","Macon beacon. April 06, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0830.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-3/thumbnail.jpg",4688,7386,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0830.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-4/","Macon beacon. April 06, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0831.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-4/thumbnail.jpg",4564,7343,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0831.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-5/","Macon beacon. April 06, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0832.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-5/thumbnail.jpg",4788,7373,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0832.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-6/","Macon beacon. April 06, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0833.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-6/thumbnail.jpg",4992,7742,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0833.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-7/","Macon beacon. April 06, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0834.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-7/thumbnail.jpg",4740,7421,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0834.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-8/","Macon beacon. April 06, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0835.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-06/ed-1/seq-8/thumbnail.jpg",5000,7714,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917040601/0835.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-1/","Macon beacon. April 13, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0836.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-1/thumbnail.jpg",4744,7476,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0836.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-2/","Macon beacon. April 13, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0837.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-2/thumbnail.jpg",5016,7788,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0837.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-3/","Macon beacon. April 13, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0838.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-3/thumbnail.jpg",4708,7355,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0838.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-4/","Macon beacon. April 13, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0839.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-4/thumbnail.jpg",5088,7721,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0839.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-5/","Macon beacon. April 13, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0840.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-5/thumbnail.jpg",5000,7598,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0840.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-6/","Macon beacon. April 13, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0841.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-6/thumbnail.jpg",4972,7711,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0841.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-7/","Macon beacon. April 13, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0842.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-7/thumbnail.jpg",4676,7444,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0842.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-8/","Macon beacon. April 13, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0843.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016943/1917-04-13/ed-1/seq-8/thumbnail.jpg",4996,7755,"http://s3.amazonaws.com/ndnp-batches/msar_applejack_ver01/data/sn83016943/00295877807/1917041301/0843.xml"
