order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-1/","The Challis messenger. January 02, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0004.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-1/thumbnail.jpg",4224,6640,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0004.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-2/","The Challis messenger. January 02, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0005.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-2/thumbnail.jpg",4312,6672,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0005.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-3/","The Challis messenger. January 02, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0006.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-3/thumbnail.jpg",4360,6632,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0006.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-4/","The Challis messenger. January 02, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0007.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-4/thumbnail.jpg",4320,6696,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0007.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-5/","The Challis messenger. January 02, 1918. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0008.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-5/thumbnail.jpg",4384,6592,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0008.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-6/","The Challis messenger. January 02, 1918. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0009.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-6/thumbnail.jpg",4344,6696,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0009.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-7/","The Challis messenger. January 02, 1918. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0010.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-7/thumbnail.jpg",4368,6648,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0010.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-8/","The Challis messenger. January 02, 1918. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0011.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-02/ed-1/seq-8/thumbnail.jpg",4304,6704,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918010201/0011.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-16/ed-1/seq-1/","The Challis messenger. January 16, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918011601/0013.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-16/ed-1/seq-1/thumbnail.jpg",4240,6624,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918011601/0013.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-16/ed-1/seq-2/","The Challis messenger. January 16, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/idhi_eliot_ver01/data/sn88056159/00295868090/1918011601/0014.jpg","http://chroniclingamerica.loc.gov/lccn/sn88056159/1918-01-16/ed-1/seq-2/thumbnail.jpg",4336,6624,"http://s3.amazonaws.com/ndnp-batches/idhi_eliot_ver01/data/sn88056159/00295868090/1918011601/0014.xml"
