order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-1/","Cherokee scout. August 17, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_lumber_ver01/data/sn83004710/00295879221/1917081701/0091.jpg","http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-1/thumbnail.jpg",5932,8066,"http://s3.amazonaws.com/ndnp-batches/ncu_lumber_ver01/data/sn83004710/00295879221/1917081701/0091.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-2/","Cherokee scout. August 17, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_lumber_ver01/data/sn83004710/00295879221/1917081701/0092.jpg","http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-2/thumbnail.jpg",5936,8050,"http://s3.amazonaws.com/ndnp-batches/ncu_lumber_ver01/data/sn83004710/00295879221/1917081701/0092.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-3/","Cherokee scout. August 17, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_lumber_ver01/data/sn83004710/00295879221/1917081701/0093.jpg","http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-3/thumbnail.jpg",5604,7999,"http://s3.amazonaws.com/ndnp-batches/ncu_lumber_ver01/data/sn83004710/00295879221/1917081701/0093.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-4/","Cherokee scout. August 17, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_lumber_ver01/data/sn83004710/00295879221/1917081701/0094.jpg","http://chroniclingamerica.loc.gov/lccn/sn83004710/1917-08-17/ed-1/seq-4/thumbnail.jpg",5560,8067,"http://s3.amazonaws.com/ndnp-batches/ncu_lumber_ver01/data/sn83004710/00295879221/1917081701/0094.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-1/","The Wilson times. March 12, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0005.jpg","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-1/thumbnail.jpg",4176,7009,"http://s3.amazonaws.com/ndnp-batches/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0005.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-2/","The Wilson times. March 12, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0006.jpg","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-2/thumbnail.jpg",4144,7072,"http://s3.amazonaws.com/ndnp-batches/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0006.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-3/","The Wilson times. March 12, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0007.jpg","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-3/thumbnail.jpg",4132,7045,"http://s3.amazonaws.com/ndnp-batches/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0007.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-4/","The Wilson times. March 12, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0008.jpg","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-4/thumbnail.jpg",4144,7200,"http://s3.amazonaws.com/ndnp-batches/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0008.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-5/","The Wilson times. March 12, 1918. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0009.jpg","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-5/thumbnail.jpg",4456,7100,"http://s3.amazonaws.com/ndnp-batches/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0009.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-6/","The Wilson times. March 12, 1918. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0010.jpg","http://chroniclingamerica.loc.gov/lccn/sn92073953/1918-03-12/ed-1/seq-6/thumbnail.jpg",4500,7041,"http://s3.amazonaws.com/ndnp-batches/ncu_adam_ver02/data/sn92073953/00415667188/1918031201/0010.xml"
