order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-1/","The North Platte semi-weekly tribune. January 08, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1264.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-1/thumbnail.jpg",5108,7131,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1264.xml"
2,"http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-2/","The North Platte semi-weekly tribune. January 08, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1265.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-2/thumbnail.jpg",5112,7275,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1265.xml"
3,"http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-3/","The North Platte semi-weekly tribune. January 08, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1266.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-3/thumbnail.jpg",5124,7123,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1266.xml"
4,"http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-4/","The North Platte semi-weekly tribune. January 08, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1267.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-4/thumbnail.jpg",5148,7195,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1267.xml"
5,"http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-5/","The North Platte semi-weekly tribune. January 08, 1918. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1268.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-5/thumbnail.jpg",5096,7124,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1268.xml"
6,"http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-6/","The North Platte semi-weekly tribune. January 08, 1918. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1269.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-6/thumbnail.jpg",5180,7231,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1269.xml"
7,"http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-7/","The North Platte semi-weekly tribune. January 08, 1918. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1270.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-7/thumbnail.jpg",5104,7163,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1270.xml"
8,"http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-8/","The North Platte semi-weekly tribune. January 08, 1918. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1271.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1918-01-08/ed-1/seq-8/thumbnail.jpg",5184,7200,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1918010801/1271.xml"
9,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-1/","The North Platte semi-weekly tribune. October 23, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1065.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-1/thumbnail.jpg",5024,7130,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1065.xml"
10,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-2/","The North Platte semi-weekly tribune. October 23, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1066.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-2/thumbnail.jpg",4996,7256,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1066.xml"
11,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-3/","The North Platte semi-weekly tribune. October 23, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1067.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-3/thumbnail.jpg",5108,7116,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1067.xml"
12,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-4/","The North Platte semi-weekly tribune. October 23, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1068.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-4/thumbnail.jpg",5116,7171,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1068.xml"
13,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-5/","The North Platte semi-weekly tribune. October 23, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1069.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-5/thumbnail.jpg",5156,7137,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1069.xml"
14,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-6/","The North Platte semi-weekly tribune. October 23, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1070.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-6/thumbnail.jpg",5080,7172,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1070.xml"
15,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-7/","The North Platte semi-weekly tribune. October 23, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1071.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-7/thumbnail.jpg",5064,7062,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1071.xml"
16,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-8/","The North Platte semi-weekly tribune. October 23, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1072.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-10-23/ed-1/seq-8/thumbnail.jpg",5004,7193,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917102301/1072.xml"
17,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-08-17/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-08-17/ed-1/seq-1/","The North Platte semi-weekly tribune. August 17, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917081701/0904.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-08-17/ed-1/seq-1/thumbnail.jpg",5184,7209,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917081701/0904.xml"
18,"http://chroniclingamerica.loc.gov/lccn/2010270504/1917-08-17/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-08-17/ed-1/seq-2/","The North Platte semi-weekly tribune. August 17, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nbu_irons_ver01/data/2010270504/00237284756/1917081701/0905.jpg","http://chroniclingamerica.loc.gov/lccn/2010270504/1917-08-17/ed-1/seq-2/thumbnail.jpg",5088,7212,"http://s3.amazonaws.com/ndnp-batches/nbu_irons_ver01/data/2010270504/00237284756/1917081701/0905.xml"
